Dev_ID,Batch_ID,Product,Production_Line,Deviation_Date,Month_Year,Quarter,Dev_Type,Parameter_Affected,Root_Cause_Category,Root_Cause_Description,Severity,Detected_By,Status,CAPA_Raised
DEV-0001,BCH-2023-0479,Masala Peanuts,Line E,2024-02-04 00:00:00,Feb-2024,Q1-2024,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Major,QC Analyst,Closed — Effective,Yes
DEV-0002,BCH-2022-0067,Roasted Corn,Line A,2022-04-26 00:00:00,Apr-2022,Q2-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Major,QC Supervisor,CAPA Raised,Yes
DEV-0003,BCH-2023-0552,Tapioca Crisps,Line F,2024-05-29 00:00:00,May-2024,Q2-2024,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Minor,Production Operator,Open,Yes
DEV-0004,BCH-2022-0041,Jackfruit Chips,Line E,2022-03-21 00:00:00,Mar-2022,Q1-2022,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Major,Internal Auditor,Closed — Effective,Yes
DEV-0005,BCH-2023-0528,Tapioca Crisps,Line F,2024-04-27 00:00:00,Apr-2024,Q2-2024,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Minor,Automated Alarm,Closed — Effective,No
DEV-0006,BCH-2024-1017,Jackfruit Chips,Line C,2026-07-25 00:00:00,Jul-2026,Q3-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Critical,External Audit,Closed — Effective,Yes
DEV-0007,BCH-2022-0062,Sweet Potato Chips,Line B,2022-04-21 00:00:00,Apr-2022,Q2-2022,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0008,BCH-2022-0039,Masala Peanuts,Line C,2022-03-18 00:00:00,Mar-2022,Q1-2022,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Major,Environmental Swab,Closed — Effective,Yes
DEV-0009,BCH-2022-0243,Roasted Corn,Line C,2023-02-03 00:00:00,Feb-2023,Q1-2023,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Critical,QC Analyst,Closed — Effective,Yes
DEV-0010,BCH-2023-0683,Roasted Corn,Line E,2025-01-31 00:00:00,Jan-2025,Q1-2025,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Critical,QC Supervisor,Closed — Effective,Yes
DEV-0011,BCH-2022-0125,Banana Chips,Line E,2022-07-18 00:00:00,Jul-2022,Q3-2022,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Critical,Production Operator,Closed — Effective,Yes
DEV-0012,BCH-2024-0994,Okra Chips,Line D,2026-06-15 00:00:00,Jun-2026,Q2-2026,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Major,Internal Auditor,Closed — Effective,Yes
DEV-0013,BCH-2022-0002,Okra Chips,Line B,2022-01-05 00:00:00,Jan-2022,Q1-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Minor,Automated Alarm,Closed — Effective,Yes
DEV-0014,BCH-2023-0778,Okra Chips,Line D,2025-07-07 00:00:00,Jul-2025,Q3-2025,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Critical,External Audit,Closed — Effective,Yes
DEV-0015,BCH-2024-1006,Sweet Potato Chips,Line D,2026-07-08 00:00:00,Jul-2026,Q3-2026,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Major,Customer Complaint,Closed — Effective,Yes
DEV-0016,BCH-2023-0495,Masala Peanuts,Line C,2024-03-03 00:00:00,Mar-2024,Q1-2024,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Critical,Environmental Swab,Closed — Effective,Yes
DEV-0017,BCH-2023-0660,Chickpea Snacks,Line F,2024-12-24 00:00:00,Dec-2024,Q4-2024,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Critical,QC Analyst,CAPA Raised,Yes
DEV-0018,BCH-2022-0090,Okra Chips,Line F,2022-05-23 00:00:00,May-2022,Q2-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Minor,QC Supervisor,Open,No
DEV-0019,BCH-2023-0632,Tapioca Crisps,Line B,2024-10-25 00:00:00,Oct-2024,Q4-2024,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Major,Production Operator,CAPA Raised,Yes
DEV-0020,BCH-2022-0349,Banana Chips,Line A,2023-07-29 00:00:00,Jul-2023,Q3-2023,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Critical,Internal Auditor,Closed — Effective,Yes
DEV-0021,BCH-2023-0457,Jackfruit Chips,Line A,2024-01-07 00:00:00,Jan-2024,Q1-2024,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Minor,Automated Alarm,Closed — Pending Verification,No
DEV-0022,BCH-2022-0322,Okra Chips,Line D,2023-06-17 00:00:00,Jun-2023,Q2-2023,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Major,External Audit,Closed — Effective,Yes
DEV-0023,BCH-2022-0120,Tapioca Crisps,Line F,2022-07-09 00:00:00,Jul-2022,Q3-2022,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Major,Customer Complaint,Closed — Effective,Yes
DEV-0024,BCH-2023-0697,Jackfruit Chips,Line A,2025-02-17 00:00:00,Feb-2025,Q1-2025,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Major,Environmental Swab,Closed — Effective,Yes
DEV-0025,BCH-2024-1092,Chickpea Snacks,Line F,2026-12-14 00:00:00,Dec-2026,Q4-2026,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Minor,QC Analyst,Closed — Effective,No
DEV-0026,BCH-2022-0034,Okra Chips,Line D,2022-03-06 00:00:00,Mar-2022,Q1-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Critical,QC Supervisor,CAPA Raised,Yes
DEV-0027,BCH-2022-0027,Roasted Corn,Line C,2022-02-26 00:00:00,Feb-2022,Q1-2022,Documentation Error,pH,Equipment Failure,Moisture analyser heating element degraded,Major,Production Operator,Closed — Effective,Yes
DEV-0028,BCH-2024-1150,Sweet Potato Chips,Line D,2027-03-26 00:00:00,Mar-2027,Q1-2027,Process Deviation,Moisture%,Human Error,Incorrect sample size for physicochemical test,Major,Internal Auditor,Closed — Effective,Yes
DEV-0029,BCH-2022-0007,Masala Peanuts,Line A,2022-01-14 00:00:00,Jan-2022,Q1-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Condensation in packaging area,Minor,Automated Alarm,Closed — Pending Verification,Yes
DEV-0030,BCH-2022-0070,Sweet Potato Chips,Line D,2022-05-01 00:00:00,Apr-2022,Q2-2022,Environmental Excursion,Coliform,Supplier Non-conformance,Batch recall from supplier due to cross-contamination,Critical,External Audit,Closed — Effective,Yes
DEV-0031,BCH-2024-0898,Okra Chips,Line D,2026-01-18 00:00:00,Jan-2026,Q1-2026,Raw Material Non-conformance,Process Temp,Maintenance Lapse,PM overdue on critical pH instrument,Critical,Customer Complaint,CAPA Raised,Yes
DEV-0032,BCH-2024-1033,Jackfruit Chips,Line A,2026-09-03 00:00:00,Sep-2026,Q3-2026,Packaging Defect,Packaging Seal,Training Gap,SOP revision not communicated to night shift,Major,Environmental Swab,CAPA Raised,Yes
DEV-0033,BCH-2024-1199,Masala Peanuts,Line E,2027-06-23 00:00:00,Jun-2027,Q2-2027,Microbial OOS,TPC,Raw Material Issue,Supplier batch YM count borderline on CoA,Major,QC Analyst,Closed — Effective,Yes
DEV-0034,BCH-2023-0619,Roasted Corn,Line A,2024-10-07 00:00:00,Oct-2024,Q4-2024,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Oil temperature overshoot — thermostat drift,Critical,QC Supervisor,Closed — Effective,Yes
DEV-0035,BCH-2022-0012,Chickpea Snacks,Line F,2022-01-20 00:00:00,Jan-2022,Q1-2022,Documentation Error,pH,Equipment Failure,Packaging seal integrity failure,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0036,BCH-2022-0182,Sweet Potato Chips,Line B,2022-10-22 00:00:00,Oct-2022,Q4-2022,Process Deviation,Moisture%,Human Error,BMR entry not completed contemporaneously,Major,Internal Auditor,Closed — Pending Verification,Yes
DEV-0037,BCH-2023-0755,Roasted Corn,Line E,2025-05-26 00:00:00,May-2025,Q2-2025,Equipment Malfunction,Purity%,Environmental Control Failure,Cold storage compressor failure — temp excursion,Minor,Automated Alarm,Closed — Pending Verification,Yes
DEV-0038,BCH-2023-0560,Tapioca Crisps,Line B,2024-06-09 00:00:00,Jun-2024,Q2-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Incorrect labelling on raw material bags,Major,External Audit,Closed — Effective,Yes
DEV-0039,BCH-2023-0563,Roasted Corn,Line E,2024-06-12 00:00:00,Jun-2024,Q2-2024,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Equipment MTTR exceeded SLA — production delay,Critical,Customer Complaint,CAPA Raised,Yes
DEV-0040,BCH-2022-0385,Jackfruit Chips,Line A,2023-09-15 00:00:00,Sep-2023,Q3-2023,Packaging Defect,Packaging Seal,Training Gap,Training records incomplete for promoted QC officer,Major,Environmental Swab,Closed — Effective,Yes
DEV-0041,BCH-2022-0202,Okra Chips,Line D,2022-11-24 00:00:00,Nov-2022,Q4-2022,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Minor,QC Analyst,CAPA Raised,No
DEV-0042,BCH-2024-0874,Okra Chips,Line D,2025-12-14 00:00:00,Dec-2025,Q4-2025,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Critical,QC Supervisor,Closed — Effective,Yes
DEV-0043,BCH-2023-0636,Chickpea Snacks,Line F,2024-10-31 00:00:00,Oct-2024,Q4-2024,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0044,BCH-2023-0431,Masala Peanuts,Line E,2023-11-23 00:00:00,Nov-2023,Q4-2023,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Major,Internal Auditor,Closed — Pending Verification,Yes
DEV-0045,BCH-2024-1031,Masala Peanuts,Line E,2026-08-24 00:00:00,Aug-2026,Q3-2026,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Major,Automated Alarm,CAPA Raised,Yes
DEV-0046,BCH-2023-0493,Banana Chips,Line A,2024-02-26 00:00:00,Feb-2024,Q1-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Major,External Audit,CAPA Raised,Yes
DEV-0047,BCH-2023-0817,Jackfruit Chips,Line A,2025-09-13 00:00:00,Sep-2025,Q3-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0048,BCH-2022-0037,Banana Chips,Line A,2022-03-15 00:00:00,Mar-2022,Q1-2022,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Minor,Environmental Swab,Closed — Pending Verification,No
DEV-0049,BCH-2024-0919,Masala Peanuts,Line A,2026-02-22 00:00:00,Feb-2026,Q1-2026,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Major,QC Analyst,Closed — Pending Verification,Yes
