CAPA_ID,Dev_ID,Batch_ID,Product,Production_Line,CAPA_Open_Date,Month_Year,CAPA_Type,Corrective_Action,Preventive_Action,Responsible_Person,Target_Closure_Date,Actual_Closure_Date,TAT_Days,Target_TAT_Days,On_Time,Effectiveness,Verified_By,Status
CAPA-0001,DEV-0001,BCH-2023-0479,Masala Peanuts,Line E,2024-02-05 00:00:00,Feb-2024,Immediate Corrective Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2024-02-19 00:00:00,2024-02-22 00:00:00,17,14,No,Effective,Sagar A.,Closed
CAPA-0002,DEV-0002,BCH-2022-0067,Roasted Corn,Line A,2022-04-27 00:00:00,Apr-2022,Root Cause Elimination,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2022-05-11 00:00:00,2022-05-14 00:00:00,17,14,No,Effective,Divya N.,Closed
CAPA-0003,DEV-0003,BCH-2023-0552,Tapioca Crisps,Line F,2024-05-30 00:00:00,May-2024,Preventive Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2024-06-29 00:00:00,2024-07-01 00:00:00,32,30,No,Effective,Karthik V.,Closed
CAPA-0004,DEV-0004,BCH-2022-0041,Jackfruit Chips,Line E,2022-03-22 00:00:00,Mar-2022,Process Improvement,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2022-04-05 00:00:00,2022-04-07 00:00:00,16,14,No,Partially Effective,Meena R.,Closed
CAPA-0005,DEV-0006,BCH-2024-1017,Jackfruit Chips,Line C,2026-07-26 00:00:00,Jul-2026,Supplier Development Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2026-08-02 00:00:00,2026-08-08 00:00:00,13,7,No,Pending Verification,Suresh B.,Open
CAPA-0006,DEV-0007,BCH-2022-0062,Sweet Potato Chips,Line B,2022-04-22 00:00:00,Apr-2022,Immediate Corrective Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2022-05-06 00:00:00,2022-05-01 00:00:00,9,14,Yes,Effective,Ramesh K.,Closed
CAPA-0007,DEV-0008,BCH-2022-0039,Masala Peanuts,Line C,2022-03-19 00:00:00,Mar-2022,Root Cause Elimination,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2022-04-02 00:00:00,2022-03-28 00:00:00,9,14,Yes,Effective,Priya S.,Closed
CAPA-0008,DEV-0009,BCH-2022-0243,Roasted Corn,Line C,2023-02-04 00:00:00,Feb-2023,Preventive Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2023-02-11 00:00:00,2023-02-17 00:00:00,13,7,No,Effective,Anand M.,Closed
CAPA-0009,DEV-0010,BCH-2023-0683,Roasted Corn,Line E,2025-02-01 00:00:00,Jan-2025,Process Improvement,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2025-02-08 00:00:00,2025-02-07 00:00:00,6,7,Yes,Partially Effective,Sagar A.,Closed
CAPA-0010,DEV-0011,BCH-2022-0125,Banana Chips,Line E,2022-07-19 00:00:00,Jul-2022,Supplier Development Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2022-07-26 00:00:00,2022-08-01 00:00:00,13,7,No,Pending Verification,Divya N.,Open
